event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,associated_off_ball_run_event_id,associated_off_ball_run_subtype_id,associated_off_ball_run_subtype,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,high_pass,organised_defense,defensive_structure,n_defensive_lines,first_line_break,first_line_break_type_id,first_line_break_type,second_last_line_break,second_last_line_break_type_id,second_last_line_break_type,last_line_break,last_line_break_type_id,last_line_break_type,furthest_line_break_id,furthest_line_break,furthest_line_break_type_id,furthest_line_break_type,interplayer_distance,interplayer_distance_range_id,interplayer_distance_range,interplayer_angle,interplayer_direction_id,interplayer_direction,pass_distance,pass_range_id,pass_range,pass_angle,pass_direction_id,pass_direction,pass_ahead,n_opponents_ahead_player_in_possession_pass_moment,n_opponents_ahead_pass_reception,n_opponents_bypassed,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,peak_passing_option_frame,passing_option_at_player_possession_start,n_simultaneous_passing_options,passing_option_at_pass_moment,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched,fully_extrapolated
7_115,115,1846146,3481,3494,05:40.1,05:41.4,5,40,1.3,1,1,left_to_right,7,passing_option,57146,C. Roccaro,6,RCB,816413,H. Anderson,4,LCB,2337,Chicago RS,-30.07,-14.76,4,half_space_right,1,defensive_third,False,-29.52,-13.03,4,half_space_right,1,defensive_third,False,8_50,3464,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,1.76,72.36,3,sideway_left,False,False,,,,16.49,16.27,-0.22,6.05,6.89,36.12,36.41,0.29,48.95,48.11,-0.84,False,False,False,True,424.0,3,False,,,False,,,False,,,,,,,27.51,2,medium,-90.44,4,sideway_right,25.29,2,medium,-93.4,4,sideway_right,False,10,10,0,2,same_line,2,same_line,31.43,27.51,-29.28,16.66,2,half_space_left,1,defensive_third,False,-29.31,14.48,2,half_space_left,1,defensive_third,False,True,True,True,False,False,0.0,0.9993,0.9894,True,3494,False,2,True,True,True,True,True
7_116,116,1846146,3494,3494,05:41.4,05:41.4,5,41,0.0,1,1,left_to_right,7,passing_option,22810,M. Swanson,19,CF,816413,H. Anderson,4,LCB,2337,Chicago RS,6.98,-13.11,4,half_space_right,2,middle_third,False,6.98,-13.11,4,half_space_right,2,middle_third,False,8_50,3464,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,0.0,15.64,1,forward,False,False,,,,0.84,0.84,0.0,6.89,6.89,-0.09,-0.09,0.0,48.11,48.11,0.0,False,False,,True,424.0,3,True,1,through,True,2,around,True,1,through,3,last,1,through,45.59,3,long,-37.24,1,forward,,,,,,,True,10,0,10,3,ahead,3,ahead,45.59,45.59,-29.31,14.48,2,half_space_left,1,defensive_third,False,-29.31,14.48,2,half_space_left,1,defensive_third,False,False,False,,False,True,0.0027,0.6375,0.6344,True,3494,False,1,True,True,True,,True
7_117,117,1846146,3512,3548,05:43.2,05:46.8,5,43,3.6,1,1,left_to_right,7,passing_option,57112,N. Kuikka,8,RB,57146,C. Roccaro,6,RCB,2337,Chicago RS,-13.54,-26.9,5,wide_right,2,middle_third,False,-11.48,-32.66,5,wide_right,2,middle_third,False,8_51,3512,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,7.34,-70.32,4,sideway_right,False,False,7.33,1,jogging,10.52,5.94,-4.58,7.31,10.75,20.85,22.23,1.38,47.69,44.25,-3.44,False,False,False,True,424.0,3,False,,,False,,,False,,,,,,,16.05,2,medium,-65.91,4,sideway_right,14.27,1,short,-58.06,4,sideway_right,True,10,9,1,3,ahead,3,ahead,20.51,16.05,-28.86,-13.26,4,half_space_right,1,defensive_third,False,-18.03,-18.01,4,half_space_right,2,middle_third,False,True,True,True,False,False,0.0001,0.9959,0.9751,True,3548,True,2,True,True,True,True,False
7_118,118,1846146,3523,3532,05:44.3,05:45.2,5,44,0.9,1,1,left_to_right,7,passing_option,22723,J. Grosso,9,LDM,57146,C. Roccaro,6,RCB,2337,Chicago RS,-16.78,-1.51,3,center,2,middle_third,False,-17.63,-4.1,3,center,2,middle_third,False,8_51,3512,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,2.44,-108.17,4,sideway_right,False,False,10.9,1,jogging,5.42,6.48,1.06,7.99,8.84,24.77,26.47,1.7,47.01,46.16,-0.85,False,False,,True,424.0,3,False,,,False,,,False,,,,,,,14.02,1,short,56.79,3,sideway_left,,,,,,,True,10,10,0,3,ahead,3,ahead,15.34,11.92,-25.78,-13.93,4,half_space_right,1,defensive_third,False,-22.78,-14.85,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0002,0.9966,0.7545,True,3526,False,2,False,True,True,,False
7_119,119,1846146,3527,3536,05:44.7,05:45.6,5,44,0.9,1,1,left_to_right,7,passing_option,817547,B. Franklin,11,RDM,57146,C. Roccaro,6,RCB,2337,Chicago RS,-8.57,-8.18,3,center,2,middle_third,False,-7.86,-10.81,4,half_space_right,2,middle_third,False,8_51,3512,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,2.45,-74.89,4,sideway_right,True,False,10.95,1,jogging,3.79,3.41,-0.38,8.36,9.27,16.93,17.13,0.2,46.64,45.73,-0.91,True,True,,True,424.0,3,True,1,through,False,,,False,,,1,first,1,through,15.4,2,medium,19.42,1,forward,,,,,,,True,10,7,3,3,ahead,3,ahead,16.96,14.41,-24.42,-14.22,4,half_space_right,1,defensive_third,False,-21.48,-15.52,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0007,0.8958,0.6305,True,3532,False,2,False,True,True,,False
7_120,120,1846146,3560,3574,05:48.0,05:49.4,5,48,1.4,1,1,left_to_right,7,passing_option,817547,B. Franklin,11,RDM,57112,N. Kuikka,8,RB,2337,Chicago RS,-4.94,-17.4,4,half_space_right,2,middle_third,False,-6.3,-21.66,5,wide_right,2,middle_third,False,8_52,3560,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,4.66,-107.71,4,sideway_right,True,False,11.93,1,jogging,3.77,2.61,-1.16,12.19,12.48,17.13,18.78,1.65,42.81,42.52,-0.29,True,True,,True,424.0,3,True,1,through,False,,,False,,,1,first,1,through,14.98,1,short,68.78,3,sideway_left,,,,,,,True,9,7,2,3,ahead,3,ahead,15.84,10.55,-10.46,-32.25,5,wide_right,2,middle_third,False,-12.52,-30.18,5,wide_right,2,middle_third,False,False,False,,False,False,0.0006,0.7058,0.8043,True,3562,True,2,True,True,True,,False
7_121,121,1846146,3560,3575,05:48.0,05:49.5,5,48,1.5,1,1,left_to_right,7,passing_option,57146,C. Roccaro,6,RCB,57112,N. Kuikka,8,RB,2337,Chicago RS,-19.03,-20.55,5,wide_right,1,defensive_third,False,-23.61,-22.1,5,wide_right,1,defensive_third,False,8_52,3560,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,4.64,-161.3,2,backward,False,False,11.93,1,jogging,8.57,7.96,-0.61,12.19,12.38,31.22,35.99,4.77,42.81,42.62,-0.19,False,False,False,True,451.0,2,,,,False,,,False,,,,,,,13.37,1,short,143.3,2,backward,10.66,1,short,122.78,3,sideway_left,False,9,10,-1,1,behind,1,behind,14.5,13.37,-10.46,-32.25,5,wide_right,2,middle_third,False,-12.89,-30.09,5,wide_right,2,middle_third,False,True,True,True,False,False,0.0001,0.9792,0.9851,True,3575,True,2,True,True,True,True,False
7_122,122,1846146,3570,3575,05:49.0,05:49.5,5,49,0.5,1,1,left_to_right,7,passing_option,22809,A. Naeher,1,GK,57112,N. Kuikka,8,RB,2337,Chicago RS,-39.4,-2.64,3,center,1,defensive_third,False,-39.3,-3.06,3,center,1,defensive_third,False,8_52,3560,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,0.37,-76.61,4,sideway_right,False,False,3.2,1,jogging,32.72,31.68,-1.04,12.7,12.38,52.1,51.68,-0.42,42.3,42.62,0.32,False,False,,True,451.0,2,,,,False,,,False,,,,,,,39.85,3,long,135.12,2,backward,,,,,,,False,9,10,-1,1,behind,1,behind,39.85,37.79,-11.16,-30.76,5,wide_right,2,middle_third,False,-12.89,-30.09,5,wide_right,2,middle_third,False,False,False,,False,False,0.0,0.9814,0.6314,True,3570,False,2,True,True,True,,False
7_123,123,1846146,3592,3606,05:51.2,05:52.6,5,51,1.4,1,1,left_to_right,7,passing_option,22809,A. Naeher,1,GK,57146,C. Roccaro,6,RCB,2337,Chicago RS,-40.73,-3.17,3,center,1,defensive_third,False,-42.14,-2.32,3,center,1,defensive_third,False,8_53,3592,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,1.65,148.92,2,backward,False,False,4.25,1,jogging,27.19,25.85,-1.35,9.28,6.86,50.01,49.0,-1.01,45.72,48.14,2.42,False,False,False,True,424.0,3,False,,,False,,,False,,,,,,,17.62,2,medium,129.82,3,sideway_left,14.35,1,short,111.04,3,sideway_left,False,10,10,0,1,behind,1,behind,20.57,17.62,-28.53,-19.73,4,half_space_right,1,defensive_third,False,-30.86,-15.85,4,half_space_right,1,defensive_third,False,True,True,True,False,False,0.0,0.999,0.9793,True,3606,True,1,True,True,True,True,False
7_124,124,1846146,3592,3606,05:51.2,05:52.6,5,51,1.4,1,1,left_to_right,7,passing_option,816413,H. Anderson,4,LCB,57146,C. Roccaro,6,RCB,2337,Chicago RS,-23.05,4.53,3,center,1,defensive_third,False,-28.13,5.6,3,center,1,defensive_third,False,8_53,3592,,,,3,drawing,0,0,32,1,create,9,medium_block,False,False,5.21,168.11,2,backward,False,False,13.39,1,jogging,15.49,11.79,-3.7,9.28,6.86,32.33,34.99,2.66,45.72,48.14,2.42,False,False,,True,424.0,3,False,,,False,,,False,,,,,,,22.68,2,medium,80.56,3,sideway_left,,,,,,,True,10,10,0,3,ahead,2,same_line,24.87,21.62,-28.53,-19.73,4,half_space_right,1,defensive_third,False,-30.86,-15.85,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0001,0.9974,0.9881,True,3600,True,1,True,True,True,,False
