event_id,index,match_id,frame_start,frame_end,time_start,time_end,minute_start,second_start,duration,period,attacking_side_id,attacking_side,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_position_id,player_position,player_in_possession_id,player_in_possession_name,player_in_possession_position_id,player_in_possession_position,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,associated_player_possession_event_id,associated_player_possession_frame_start,game_state_id,game_state,team_score,opponent_team_score,phase_index,team_in_possession_phase_type_id,team_in_possession_phase_type,team_out_of_possession_phase_type_id,team_out_of_possession_phase_type,lead_to_shot,lead_to_goal,distance_covered,trajectory_angle,trajectory_direction_id,trajectory_direction,in_to_out,out_to_in,speed_avg,speed_avg_band_id,speed_avg_band,separation_start,separation_end,separation_gain,last_defensive_line_x_start,last_defensive_line_x_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,inside_defensive_shape_start,inside_defensive_shape_end,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,predicted_passing_option,passing_option_at_player_possession_start,n_simultaneous_runs,give_and_go,intended_run_behind,push_defensive_line,break_defensive_line,passing_option_at_start,n_opponents_ahead_end,n_opponents_ahead_start,n_opponents_overtaken,is_player_possession_start_matched,is_player_possession_end_matched,is_pass_reception_matched
1_179,179,1846146,36281,36292,52:07.1,52:08.2,52,7,1.1,2,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,817541,C. Dyke,8,RB,441597,E. Madril Sams,6,RCB,2334,Orlando Pride,-4.79,-5.41,3,center,2,middle_third,False,-4.43,-10.45,4,half_space_right,2,middle_third,False,8_546,36292,1,winning,3,0,228,1,create,9,medium_block,False,False,4.58,-85.91,4,sideway_right,True,False,16.5,2,running,14.95,14.4,-0.55,22.56,22.6,27.35,27.03,-0.32,32.44,32.4,-0.04,False,False,2,same_line,2,same_line,10.29,10.51,-6.37,4.76,3,center,2,middle_third,False,-7.14,-0.3,3,center,2,middle_third,False,False,False,,False,False,0.0012,0.9982,0.9795,True,True,1,False,,,,True,9,10,1,True,True,
1_180,180,1846146,36293,36361,52:08.3,52:15.1,52,8,6.8,2,1,left_to_right,1,off_ball_run,5,overlap,817541,C. Dyke,8,RB,63540,Adriana,16,LW,2334,Orlando Pride,-4.36,-10.91,4,half_space_right,2,middle_third,False,28.55,-26.66,5,wide_right,3,attacking_third,False,8_547,36311,1,winning,3,0,229,2,finish,8,low_block,True,False,42.38,-25.57,1,forward,True,False,22.36,3,hsr,14.32,10.33,-3.99,22.61,29.61,26.97,1.06,-25.91,32.39,25.39,-7.0,False,False,1,behind,3,ahead,18.73,21.16,14.36,-11.48,4,half_space_right,2,middle_third,False,14.72,-10.64,4,half_space_right,2,middle_third,False,False,False,,False,False,0.0157,0.8021,0.97,True,True,1,False,,,,True,2,9,7,True,True,
1_181,181,1846146,36300,36329,52:09.0,52:11.9,52,9,2.9,2,1,left_to_right,1,off_ball_run,2,coming_short,62389,Angelina,12,LM,63540,Adriana,16,LW,2334,Orlando Pride,2.13,3.19,3,center,2,middle_third,False,4.32,-9.76,4,half_space_right,2,middle_third,False,8_547,36311,1,winning,3,0,229,2,finish,8,low_block,False,False,13.53,-80.4,4,sideway_right,True,False,17.22,2,running,5.55,9.7,4.16,22.71,22.78,20.58,18.46,-2.12,32.29,32.22,-0.07,True,True,1,behind,2,same_line,21.27,7.67,13.04,-15.07,4,half_space_right,2,middle_third,False,4.17,-17.43,4,half_space_right,2,middle_third,False,False,False,,False,False,0.0069,0.9896,0.9034,True,True,1,False,,,,False,9,9,0,True,True,
1_182,182,1846146,36362,36410,52:15.2,52:20.0,52,15,4.8,2,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,817541,C. Dyke,8,RB,22542,Marta,19,CF,2334,Orlando Pride,29.04,-26.51,5,wide_right,3,attacking_third,False,42.88,-7.41,3,center,3,attacking_third,True,8_548,36371,1,winning,3,0,229,2,finish,8,low_block,True,False,25.14,54.07,3,sideway_left,False,True,18.59,2,running,10.28,2.35,-7.94,29.88,45.69,0.84,2.81,1.97,25.12,9.31,-15.81,False,True,2,same_line,2,same_line,8.23,5.24,28.53,-18.3,4,half_space_right,3,attacking_third,False,42.94,-12.65,4,half_space_right,3,attacking_third,True,False,False,,True,True,0.1991,0.2922,0.8972,True,True,0,False,,,,True,4,2,-2,True,True,
1_183,183,1846146,36795,36804,52:58.5,52:59.4,52,58,0.9,2,2,right_to_left,1,off_ball_run,8,run_ahead_of_the_ball,22810,M. Swanson,19,CF,57112,N. Kuikka,8,RB,2337,Chicago RS,-39.83,18.88,2,half_space_left,1,defensive_third,False,-35.77,18.8,2,half_space_left,1,defensive_third,False,8_551,36794,2,losing,0,3,230,14,disruption,14,disruption,False,False,3.6,-1.13,1,forward,False,False,16.31,2,running,7.15,5.75,-1.4,-29.06,-26.31,10.77,9.46,-1.31,84.06,81.31,-2.75,True,True,3,ahead,3,ahead,14.97,16.74,-52.18,10.42,2,half_space_left,1,defensive_third,False,-50.65,11.13,2,half_space_left,1,defensive_third,False,False,False,,False,True,0.0013,0.479,0.9103,True,True,0,False,,,,True,4,4,0,True,True,
1_184,184,1846146,36865,36876,53:05.5,53:06.6,53,5,1.1,2,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,151151,H. McCutcheon,14,RM,63540,Adriana,16,LW,2334,Orlando Pride,33.54,-20.18,5,wide_right,3,attacking_third,False,37.51,-16.94,4,half_space_right,3,attacking_third,False,8_553,36846,1,winning,3,0,230,7,set_play,13,defending_set_play,False,False,4.72,39.22,1,forward,False,True,16.61,2,running,0.71,2.36,1.65,37.49,39.98,3.95,2.47,-1.48,17.51,15.02,-2.49,True,True,3,ahead,3,ahead,7.47,6.73,29.47,-26.44,5,wide_right,3,attacking_third,False,33.43,-22.29,5,wide_right,3,attacking_third,False,False,False,,True,True,0.0225,0.5536,0.8518,True,True,0,False,,,,True,5,7,2,True,True,
1_185,185,1846146,39843,39850,58:03.3,58:04.0,58,3,0.7,2,2,right_to_left,1,off_ball_run,9,support,817610,J. Joseph,17,RW,22810,M. Swanson,19,CF,2337,Chicago RS,39.25,17.75,2,half_space_left,3,attacking_third,True,40.05,14.64,2,half_space_left,3,attacking_third,True,8_560,39843,2,losing,0,4,239,1,create,9,medium_block,False,False,2.8,-75.57,4,sideway_right,False,False,16.33,2,running,6.09,5.1,-0.99,45.76,47.8,6.51,7.75,1.24,9.24,7.2,-2.04,True,True,1,behind,1,behind,9.31,9.12,44.9,10.35,2,half_space_left,3,attacking_third,True,47.5,9.38,2,half_space_left,3,attacking_third,True,False,False,,True,True,0.0593,0.4653,0.8241,True,True,0,False,,,,True,4,3,-1,True,True,
1_186,186,1846146,39962,39973,58:15.2,58:16.3,58,15,1.1,2,2,right_to_left,1,off_ball_run,4,dropping_off,22810,M. Swanson,19,CF,22723,J. Grosso,9,LDM,2337,Chicago RS,47.31,33.72,1,wide_left,3,attacking_third,False,42.86,32.0,1,wide_left,3,attacking_third,False,8_561,39952,2,losing,0,4,240,7,set_play,13,defending_set_play,False,False,4.38,-158.87,2,backward,False,False,15.63,2,running,2.03,3.88,1.86,48.17,47.93,0.86,5.07,4.21,6.83,7.07,0.24,False,False,2,same_line,1,behind,0.75,4.97,46.6,33.97,1,wide_left,3,attacking_third,False,47.75,32.89,1,wide_left,3,attacking_third,False,False,False,,False,False,0.0079,0.8924,0.8517,True,True,0,False,,,,True,8,3,-5,True,True,
1_187,187,1846146,40014,40030,58:20.4,58:22.0,58,20,1.6,2,2,right_to_left,1,off_ball_run,4,dropping_off,57146,C. Roccaro,6,RCB,57112,N. Kuikka,8,RB,2337,Chicago RS,31.06,0.02,3,center,3,attacking_third,False,24.67,-2.75,3,center,3,attacking_third,False,8_562,40024,2,losing,0,4,240,7,set_play,13,defending_set_play,False,False,6.98,-156.56,2,backward,False,False,15.65,2,running,5.59,5.96,0.37,45.0,41.06,13.94,16.39,2.45,10.0,13.94,3.94,False,False,3,ahead,3,ahead,10.27,9.54,22.87,6.22,3,center,3,attacking_third,False,19.77,5.44,3,center,3,attacking_third,False,True,True,True,False,False,0.0047,0.9751,0.9373,True,True,0,False,,,,True,9,10,1,True,True,True
1_188,188,1846146,40130,40143,58:32.0,58:33.3,58,32,1.3,2,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,62445,B. Banda,19,CF,63540,Adriana,16,LW,2334,Orlando Pride,-8.99,13.87,2,half_space_left,2,middle_third,False,-3.72,15.69,2,half_space_left,2,middle_third,False,8_566,40120,1,winning,4,0,241,1,create,9,medium_block,False,False,5.16,19.05,1,forward,False,False,15.42,2,running,11.73,10.06,-1.67,1.69,4.88,10.68,8.6,-2.08,53.31,50.12,-3.19,False,False,3,ahead,3,ahead,26.93,31.98,-19.28,-11.02,4,half_space_right,1,defensive_third,False,-15.53,-14.03,4,half_space_right,2,middle_third,False,False,False,,False,True,0.0082,0.6215,0.8279,True,True,0,False,,,,True,2,2,0,True,True,
1_189,189,1846146,40677,40711,59:26.7,59:30.1,59,26,3.4,2,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,62445,B. Banda,19,CF,22542,Marta,19,CF,2334,Orlando Pride,-41.09,5.26,3,center,1,defensive_third,False,-22.65,10.88,2,half_space_left,1,defensive_third,False,8_569,40673,1,winning,4,0,244,1,create,9,medium_block,False,False,19.29,16.95,1,forward,False,False,20.35,3,hsr,5.56,11.14,5.58,-14.52,-7.83,26.57,14.82,-11.75,69.52,62.83,-6.69,False,False,1,behind,2,same_line,21.64,24.16,-26.28,-10.52,4,half_space_right,1,defensive_third,False,-20.71,-13.2,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0052,0.8146,0.6012,True,False,1,False,,,,False,5,5,0,True,True,
1_190,190,1846146,40679,40717,59:26.9,59:30.7,59,26,3.8,2,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,63540,Adriana,16,LW,22542,Marta,19,CF,2334,Orlando Pride,-31.3,-17.36,4,half_space_right,1,defensive_third,False,-12.9,-23.63,5,wide_right,2,middle_third,False,8_569,40673,1,winning,4,0,244,1,create,9,medium_block,False,False,19.52,-18.82,1,forward,False,False,18.39,2,running,3.44,4.39,0.95,-14.08,-7.61,17.22,5.29,-11.93,69.08,62.61,-6.47,False,False,1,behind,3,ahead,8.98,11.04,-25.69,-10.35,4,half_space_right,1,defensive_third,False,-18.68,-14.22,4,half_space_right,1,defensive_third,False,True,True,True,False,False,0.0074,0.9407,0.987,True,False,1,False,,,,True,2,4,2,True,True,True
1_191,191,1846146,40712,40747,59:30.2,59:33.7,59,30,3.5,2,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,62445,B. Banda,19,CF,63540,Adriana,16,LW,2334,Orlando Pride,-22.09,11.02,2,half_space_left,1,defensive_third,False,-4.86,11.53,2,half_space_left,2,middle_third,False,8_570,40723,1,winning,4,0,244,1,create,9,medium_block,False,False,17.13,1.7,1,forward,False,False,18.03,2,running,11.2,8.7,-2.5,-7.82,-4.61,14.27,0.25,-14.02,62.82,59.61,-3.21,False,False,1,behind,3,ahead,34.3,35.49,-15.13,-22.57,5,wide_right,2,middle_third,False,-13.31,-22.94,5,wide_right,2,middle_third,False,False,False,,False,True,0.014,0.5434,0.6478,True,False,2,False,,,,False,1,5,4,True,True,
1_192,192,1846146,40717,40754,59:30.7,59:34.4,59,30,3.7,2,1,left_to_right,1,off_ball_run,5,overlap,62389,Angelina,12,LM,63540,Adriana,16,LW,2334,Orlando Pride,-28.36,-19.26,4,half_space_right,1,defensive_third,False,-8.95,-28.09,5,wide_right,2,middle_third,False,8_570,40723,1,winning,4,0,244,1,create,9,medium_block,False,False,21.02,-24.46,1,forward,True,False,,,,12.34,3.34,-8.99,-7.61,-3.0,20.75,5.95,-14.8,62.61,58.0,-4.61,False,False,1,behind,3,ahead,16.07,9.38,-12.9,-23.63,5,wide_right,2,middle_third,False,-15.89,-21.78,5,wide_right,2,middle_third,False,False,False,,False,False,0.0084,0.9178,0.8509,True,True,2,False,,,,True,2,6,4,True,True,
1_193,193,1846146,40720,40754,59:31.0,59:34.4,59,31,3.4,2,1,left_to_right,1,off_ball_run,1,behind,151077,J. Doyle,16,LW,63540,Adriana,16,LW,2334,Orlando Pride,-14.06,-4.6,3,center,2,middle_third,False,0.64,-11.74,4,half_space_right,2,middle_third,False,8_570,40723,1,winning,4,0,244,1,create,9,medium_block,False,False,16.6,-25.91,1,forward,True,False,17.53,2,running,2.45,3.65,1.2,-7.55,-3.0,6.51,-3.64,-10.15,62.55,58.0,-4.55,False,False,2,same_line,3,ahead,19.68,19.34,-12.01,-24.17,5,wide_right,2,middle_third,False,-15.89,-21.78,5,wide_right,2,middle_third,False,False,False,,True,True,0.0201,0.3983,0.835,True,False,2,False,False,False,True,False,0,3,3,True,True,
1_194,194,1846146,41749,41817,61:13.9,61:20.7,61,13,6.8,2,1,left_to_right,1,off_ball_run,1,behind,62445,B. Banda,19,CF,63540,Adriana,16,LW,2334,Orlando Pride,15.45,9.46,2,half_space_left,2,middle_third,False,39.4,-18.39,4,half_space_right,3,attacking_third,True,8_580,41755,1,winning,4,1,252,2,finish,8,low_block,False,False,42.65,-49.31,4,sideway_right,True,True,23.16,3,hsr,2.95,6.83,3.88,16.8,38.36,1.35,-1.04,-2.39,38.2,16.64,-21.56,True,False,3,ahead,3,ahead,17.19,11.04,0.8,0.47,3,center,2,middle_third,False,32.47,-9.8,4,half_space_right,3,attacking_third,False,True,False,,True,False,0.0302,0.8002,0.986,True,True,0,False,False,True,True,True,0,1,1,True,True,
1_195,195,1846146,42006,42016,61:39.6,61:40.6,61,39,1.0,2,2,right_to_left,1,off_ball_run,7,pulling_wide,149860,C. Biegalski,8,RB,57112,N. Kuikka,8,RB,2337,Chicago RS,-28.32,-19.28,4,half_space_right,1,defensive_third,False,-28.71,-24.08,5,wide_right,1,defensive_third,False,8_582,42012,2,losing,1,4,253,0,build_up,10,high_block,False,False,4.85,-94.65,4,sideway_right,True,False,,,,11.46,12.83,1.37,0.17,1.5,28.49,30.21,1.72,54.83,53.5,-1.33,False,False,3,ahead,3,ahead,11.23,11.45,-38.59,-14.74,4,half_space_right,1,defensive_third,False,-37.16,-16.35,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0001,0.9892,0.9207,True,True,1,False,,,,True,9,8,-1,True,True,
1_196,196,1846146,42010,42037,61:40.0,61:42.7,61,40,2.7,2,2,right_to_left,1,off_ball_run,6,pulling_half_space,22723,J. Grosso,9,LDM,57112,N. Kuikka,8,RB,2337,Chicago RS,-26.89,-1.74,3,center,1,defensive_third,False,-20.86,-11.97,4,half_space_right,1,defensive_third,False,8_582,42012,2,losing,1,4,253,0,build_up,10,high_block,False,False,11.46,-59.48,4,sideway_right,True,False,15.81,2,running,3.41,4.02,0.61,0.74,3.69,27.63,24.55,-3.08,54.26,51.31,-2.95,True,True,3,ahead,3,ahead,17.84,11.16,-38.28,-15.47,4,half_space_right,1,defensive_third,False,-29.98,-18.4,4,half_space_right,1,defensive_third,False,False,False,,False,False,0.0005,0.9351,0.8823,True,False,1,False,,,,False,8,8,0,True,True,
1_197,197,1846146,42069,42080,61:45.9,61:47.0,61,45,1.1,2,2,right_to_left,1,off_ball_run,9,support,22810,M. Swanson,19,CF,817610,J. Joseph,17,RW,2337,Chicago RS,1.18,-13.32,4,half_space_right,2,middle_third,False,6.58,-14.71,4,half_space_right,2,middle_third,False,8_583,42075,2,losing,1,4,254,1,create,9,medium_block,False,False,5.09,-14.43,1,forward,False,False,18.16,2,running,6.39,2.86,-3.53,8.72,9.69,7.54,3.11,-4.43,46.28,45.31,-0.97,True,True,1,behind,2,same_line,10.35,5.52,8.04,-21.07,5,wide_right,2,middle_third,False,9.35,-19.49,4,half_space_right,2,middle_third,False,True,False,,False,False,0.0117,0.7405,0.9912,True,True,0,False,,,,True,4,4,0,True,True,
1_198,198,1846146,42294,42310,62:08.4,62:10.0,62,8,1.6,2,1,left_to_right,1,off_ball_run,8,run_ahead_of_the_ball,22542,Marta,19,CF,151077,J. Doyle,16,LW,2334,Orlando Pride,2.56,25.87,1,wide_left,2,middle_third,False,11.14,30.33,1,wide_left,2,middle_third,False,8_587,42286,1,winning,4,1,257,1,create,9,medium_block,False,False,9.67,27.47,1,forward,False,False,23.86,3,hsr,3.82,3.11,-0.71,8.92,14.41,6.36,3.27,-3.09,46.08,40.59,-5.49,True,False,3,ahead,3,ahead,15.86,21.35,-11.11,33.91,1,wide_left,2,middle_third,False,-10.04,33.04,1,wide_left,2,middle_third,False,True,True,True,False,True,0.0074,0.492,0.7479,True,False,0,False,,,,True,2,3,1,True,True,True
